"Name","Email","Phone","Address1","Address2"
"Manhattan Valley Cat Rescue","irriman@verizon.net","","Columbia University Station","P.O. Box 250238"
"Neighborhood Cats Inc.","headcat@neighborhoodcats.org","212-662-5761  ","www.neighborhoodcats.org","2576 Broadway #555"
"Kittyshockwave","kittyshockwave@yahoo.com","718-238-4605","Upper West Side--NYC/Park Slope/Bay Ridg",""
"Artemis Project","info@artemisprojectnyc.org","Please Email  ","Please Email",""
"Waggin Train Rescue","katyaedwards@hotmail.com","","",""
"Uptown Cats","adoptions@uptowncats.org","646-701-1812   ","PO Box 208","421 8th Avenue"
"Bully Project","bullyprojectnyc@gmail.com","","171 W 83rd Street",""
"Animal Care & Control of New York City - Manhattan","adoption@nycacc.org","(212) 788-4000 ","326 East 110 Street",""
"Healthy Pets Project of NYC","healthypetsnyc@gmail.com","3472443121 ","169 E. 99th Street","Ste. 7"
"ASPCA","placement@aspca.org","212-876-7700 x4120  ","424 East 92nd Street",""
"Zanis Furry Friends","info@zanisfurryfriends.org","","",""
"Posh Pets Rescue","Mslondonspets@aol.com","","Please complete adoption form on our website:","http://poshpetsrescue.org/applications/"
"Woof Dog Rescue Inc.","aschant@yahoo.com","","14 East 60th Street - Suite 500","New York, NY 10022"
"NYC Metro Rabbit","nyc.metro.rabbits@gmail.com","","",""
"Stray From The Heart","toni.strayfromtheheart@gmail.com","212-726-DOGS ","P.O. Box 11",""
"Frankie's Fund for Feline Care and Rescue","frankiesfelinefund@gmail.com","1-917-514-0228  ","",""
"Rescue Dogs Rock NYC","info@rescuedogsrocknyc.org","","",""
"United Action For Animals","info@ua4a.org","212-249-9178","P.O. Box 635","Lenox Hill Station"
"2000 Spays and Neuters Animal Rescue","spaysandneuters2000@gmail.com","","",""
"The Well Mannered Pit Bull","thewellmanneredpitbull@gmail.com","319-853-8363  ","",""
"Bronx Tails Cat Rescue","BronxTailsCatRescue@gmail.com","","",""
"Anjellicle Cats Rescue","adopt@anjelliclecats.com","646.457.2130   ","",""
"Heart and Hand Society","kmeierdiercks@msn.com","917-453-5728 ","",""
"Unleashed","stacey@unleashedny.org","","PO Box 8175",""
"People For Paws Rescue","Peopleforpaws@yahoo.com","","",""
"Northeast Boston Terrier Rescue Inc.","debra_brigham@yahoo.com","","",""
"Eve's Sanctuary - Animal Rescue","amber@evessanctuary.com","","",""
"Ibizan Hound Club of the United States Rescue","rescue@ihcus.org","","",""
"Rescuzilla","adopt@rescuzillanyc.org","","",""
"Rebound Hounds","reboundhounds@gmail.com","646-335-5473 ","",""
"North Brooklyn Cats","norhbkcats@gmail.com","","Foster Homes",""
